iter	Logloss
177	0.3497917357
178	0.3497791691
179	0.3497717149
180	0.3497650103
181	0.3497500147
182	0.3497452425
183	0.3497391941
184	0.3497300917
185	0.3497200546
186	0.3497156597
187	0.349708055
188	0.3496986741
189	0.3496959639
190	0.3496864911
191	0.349675585
192	0.3496757435
193	0.3496714458
194	0.3496630969
195	0.3496598914
196	0.3496525725
197	0.3496459081
198	0.3496473479
199	0.3496360714
200	0.3496368272
201	0.3496276092
202	0.349625311
203	0.3496184305
204	0.3496212449
205	0.3496142101
206	0.3496140641
207	0.3496050661
208	0.349604797
209	0.3496030307
210	0.3495934111
211	0.3495900258
212	0.3495909101
213	0.3495890521
214	0.3495856996
215	0.3495817225
216	0.3495804582
217	0.3495776045
218	0.3495752496
219	0.3495748595
220	0.3495719749
221	0.3495715537
222	0.3495644634
223	0.3495644788
224	0.3495677989
225	0.349562828
226	0.349560601
227	0.3495573131
228	0.3495590753
229	0.3495529842
230	0.3495535012
231	0.3495525523
232	0.3495531941
233	0.3495497834
234	0.3495502695
235	0.349546081
236	0.3495465985
237	0.3495447786
238	0.3495496605
239	0.3495456904
240	0.3495466457
241	0.349539497
242	0.3495405459
243	0.3495400054
244	0.3495397767
245	0.3495396726
246	0.3495391337
247	0.3495383441
248	0.3495347809
249	0.3495379818
250	0.3495337656
251	0.3495318557
252	0.3495340893
253	0.3495359191
254	0.3495355376
255	0.3495330357
256	0.3495332139
257	0.3495280943
258	0.3495281181
259	0.3495287951
260	0.3495266998
261	0.3495313673
262	0.3495254998
263	0.3495269574
264	0.3495273554
265	0.3495260706
266	0.3495274659
267	0.3495267421
268	0.3495274221
269	0.3495261374
270	0.3495202715
271	0.3495202715
272	0.3495202715
273	0.3495202715
274	0.3495202715
275	0.3495202715
276	0.3495202715
277	0.3495202715
278	0.3495202715
279	0.3495202715
280	0.3495202715
281	0.3495202715
282	0.3495202715
283	0.3495202715
284	0.3495202715
285	0.3495202715
286	0.3495202715
287	0.3495202715
288	0.3495202715
289	0.3495202715
290	0.3495202715
291	0.3495202715
292	0.3495202715
293	0.3495202715
294	0.3495202715
295	0.3495202715
296	0.3495202715
297	0.3495202715
298	0.3495202715
299	0.3495202715
300	0.3495202715
301	0.3495202715
302	0.3495202715
303	0.3495202715
304	0.3495202715
305	0.3495202715
306	0.3495202715
307	0.3495202715
308	0.3495202715
309	0.3495202715
310	0.3495202715
311	0.3495202715
312	0.3495202715
313	0.3495202715
314	0.3495202715
315	0.3495202715
316	0.3495202715
317	0.3495202715
318	0.3495202715
319	0.3495202715
320	0.3495202715
321	0.3495202715
322	0.3495202715
323	0.3495202715
324	0.3495202715
325	0.3495202715
326	0.3495202715
327	0.3495202715
328	0.3495202715
329	0.3495202715
330	0.3495202715
331	0.3495202715
332	0.3495202715
333	0.3495202715
334	0.3495202715
335	0.3495202715
336	0.3495202715
337	0.3495202715
338	0.3495202715
339	0.3495202715
340	0.3495202715
341	0.3495202715
342	0.3495202715
343	0.3495202715
344	0.3495202715
345	0.3495202715
346	0.3495202715
347	0.3495202715
348	0.3495202715
349	0.3495202715
350	0.3495202715
351	0.3495202715
352	0.3495202715
353	0.3495202715
354	0.3495202715
355	0.3495202715
356	0.3495202715
357	0.3495202715
358	0.3495202715
359	0.3495202715
360	0.3495202715
361	0.3495202715
362	0.3495202715
363	0.3495202715
364	0.3495202715
365	0.3495202715
366	0.3495202715
367	0.3495202715
368	0.3495202715
369	0.3495202715
370	0.3495202715
371	0.3495202715
372	0.3495202715
373	0.3495202715
374	0.3495202715
375	0.3495202715
376	0.3495202715
377	0.3495202715
378	0.3495202715
379	0.3495202715
380	0.3495202715
381	0.3495202715
382	0.3495202715
383	0.3495202715
384	0.3495202715
385	0.3495202715
386	0.3495202715
387	0.3495202715
388	0.3495202715
389	0.3495202715
390	0.3495202715
391	0.3495202715
392	0.3495202715
393	0.3495202715
394	0.3495202715
395	0.3495202715
396	0.3495202715
397	0.3495202715
398	0.3495202715
399	0.3495202715
400	0.3495202715
401	0.3495202715
402	0.3495202715
403	0.3495202715
404	0.3495202715
405	0.3495202715
406	0.3495202715
407	0.3495202715
408	0.3495202715
409	0.3495202715
410	0.3495202715
411	0.3495202715
412	0.3495202715
413	0.3495202715
414	0.3495202715
415	0.3495202715
416	0.3495202715
417	0.3495202715
418	0.3495202715
419	0.3495202715
420	0.3495202715
421	0.3495202715
422	0.3495202715
423	0.3495202715
424	0.3495202715
425	0.3495202715
426	0.3495202715
427	0.3495202715
428	0.3495202715
429	0.3495202715
430	0.3495202715
431	0.3495202715
432	0.3495202715
433	0.3495202715
434	0.3495202715
435	0.3495202715
436	0.3495202715
437	0.3495202715
438	0.3495202715
439	0.3495202715
440	0.3495202715
441	0.3495202715
442	0.3495202715
443	0.3495202715
444	0.3495202715
445	0.3495202715
446	0.3495202715
447	0.3495202715
448	0.3495202715
449	0.3495202715
450	0.3495202715
451	0.3495202715
452	0.3495202715
453	0.3495202715
454	0.3495202715
455	0.3495202715
456	0.3495202715
457	0.3495202715
458	0.3495202715
459	0.3495202715
460	0.3495202715
461	0.3495202715
462	0.3495202715
463	0.3495202715
464	0.3495202715
465	0.3495202715
466	0.3495202715
467	0.3495202715
468	0.3495202715
469	0.3495202715
470	0.3495202715
471	0.3495202715
472	0.3495202715
473	0.3495202715
474	0.3495202715
475	0.3495202715
476	0.3495202715
477	0.3495202715
478	0.3495202715
479	0.3495202715
480	0.3495202715
481	0.3495202715
482	0.3495202715
483	0.3495202715
484	0.3495202715
485	0.3495202715
486	0.3495202715
487	0.3495202715
488	0.3495202715
489	0.3495202715
490	0.3495202715
491	0.3495202715
492	0.3495202715
493	0.3495202715
494	0.3495202715
495	0.3495202715
496	0.3495202715
497	0.3495202715
498	0.3495202715
499	0.3495202715
500	0.3495202715
501	0.3495202715
502	0.3495202715
503	0.3495202715
504	0.3495202715
505	0.3495202715
506	0.3495202715
507	0.3495202715
508	0.3495202715
509	0.3495202715
510	0.3495202715
511	0.3495202715
512	0.3495202715
513	0.3495202715
514	0.3495202715
515	0.3495202715
516	0.3495202715
517	0.3495202715
518	0.3495202715
519	0.3495202715
520	0.3495202715
521	0.3495202715
522	0.3495202715
523	0.3495202715
524	0.3495202715
525	0.3495202715
526	0.3495202715
527	0.3495202715
528	0.3495202715
529	0.3495202715
530	0.3495202715
531	0.3495202715
532	0.3495202715
533	0.3495202715
534	0.3495202715
535	0.3495202715
536	0.3495202715
537	0.3495202715
538	0.3495202715
539	0.3495202715
540	0.3495202715
541	0.3495202715
542	0.3495202715
543	0.3495202715
544	0.3495202715
545	0.3495202715
546	0.3495202715
547	0.3495202715
548	0.3495202715
549	0.3495202715
550	0.3495202715
551	0.3495202715
552	0.3495202715
553	0.3495202715
554	0.3495202715
555	0.3495202715
556	0.3495202715
557	0.3495202715
558	0.3495202715
559	0.3495202715
560	0.3495202715
561	0.3495202715
562	0.3495202715
563	0.3495202715
564	0.3495202715
565	0.3495202715
566	0.3495202715
567	0.3495202715
568	0.3495202715
569	0.3495202715
570	0.3495202715
571	0.3495202715
572	0.3495202715
573	0.3495202715
574	0.3495202715
575	0.3495202715
576	0.3495202715
577	0.3495202715
578	0.3495202715
579	0.3495202715
580	0.3495202715
581	0.3495202715
582	0.3495202715
583	0.3495202715
584	0.3495202715
585	0.3495202715
586	0.3495202715
587	0.3495202715
588	0.3495202715
589	0.3495202715
590	0.3495202715
591	0.3495202715
592	0.3495202715
593	0.3495202715
594	0.3495202715
595	0.3495202715
596	0.3495202715
597	0.3495202715
598	0.3495202715
599	0.3495202715
600	0.3495202715
601	0.3495202715
602	0.3495202715
603	0.3495202715
604	0.3495202715
605	0.3495202715
606	0.3495202715
607	0.3495202715
608	0.3495202715
609	0.3495202715
610	0.3495202715
611	0.3495202715
612	0.3495202715
613	0.3495202715
614	0.3495202715
615	0.3495202715
616	0.3495202715
617	0.3495202715
618	0.3495202715
619	0.3495202715
620	0.3495202715
621	0.3495202715
622	0.3495202715
623	0.3495202715
624	0.3495202715
625	0.3495202715
626	0.3495202715
627	0.3495202715
628	0.3495202715
629	0.3495202715
630	0.3495202715
631	0.3495202715
632	0.3495202715
633	0.3495202715
634	0.3495202715
635	0.3495202715
636	0.3495202715
637	0.3495202715
638	0.3495202715
639	0.3495202715
640	0.3495202715
641	0.3495202715
642	0.3495202715
643	0.3495202715
644	0.3495202715
645	0.3495202715
646	0.3495202715
647	0.3495202715
648	0.3495202715
649	0.3495202715
650	0.3495202715
651	0.3495202715
652	0.3495202715
653	0.3495202715
654	0.3495202715
655	0.3495202715
656	0.3495202715
657	0.3495202715
658	0.3495202715
659	0.3495202715
660	0.3495202715
661	0.3495202715
662	0.3495202715
663	0.3495202715
664	0.3495202715
665	0.3495202715
666	0.3495202715
667	0.3495202715
668	0.3495202715
669	0.3495202715
670	0.3495202715
671	0.3495202715
672	0.3495202715
673	0.3495202715
674	0.3495202715
675	0.3495202715
676	0.3495202715
677	0.3495202715
678	0.3495202715
679	0.3495202715
680	0.3495202715
681	0.3495202715
682	0.3495202715
683	0.3495202715
684	0.3495202715
685	0.3495202715
686	0.3495202715
687	0.3495202715
688	0.3495202715
689	0.3495202715
690	0.3495202715
691	0.3495202715
692	0.3495202715
693	0.3495202715
694	0.3495202715
695	0.3495202715
696	0.3495202715
697	0.3495202715
698	0.3495202715
699	0.3495202715
700	0.3495202715
701	0.3495202715
702	0.3495202715
703	0.3495202715
704	0.3495202715
705	0.3495202715
706	0.3495202715
707	0.3495202715
708	0.3495202715
709	0.3495202715
710	0.3495202715
711	0.3495202715
712	0.3495202715
713	0.3495202715
714	0.3495202715
715	0.3495202715
716	0.3495202715
717	0.3495202715
718	0.3495202715
719	0.3495202715
720	0.3495202715
721	0.3495202715
722	0.3495202715
723	0.3495202715
724	0.3495202715
725	0.3495202715
726	0.3495202715
727	0.3495202715
728	0.3495202715
729	0.3495202715
730	0.3495202715
731	0.3495202715
732	0.3495202715
733	0.3495202715
734	0.3495202715
735	0.3495202715
736	0.3495202715
737	0.3495202715
738	0.3495202715
739	0.3495202715
740	0.3495202715
741	0.3495202715
742	0.3495202715
743	0.3495202715
744	0.3495202715
745	0.3495202715
746	0.3495202715
747	0.3495202715
748	0.3495202715
749	0.3495202715
750	0.3495202715
751	0.3495202715
752	0.3495202715
753	0.3495202715
754	0.3495202715
755	0.3495202715
756	0.3495202715
757	0.3495202715
758	0.3495202715
759	0.3495202715
760	0.3495202715
761	0.3495202715
762	0.3495202715
763	0.3495202715
764	0.3495202715
765	0.3495202715
766	0.3495202715
767	0.3495202715
768	0.3495202715
769	0.3495202715
770	0.3495202715
771	0.3495202715
772	0.3495202715
773	0.3495202715
774	0.3495202715
775	0.3495202715
776	0.3495202715
777	0.3495202715
778	0.3495202715
779	0.3495202715
780	0.3495202715
781	0.3495202715
782	0.3495202715
783	0.3495202715
784	0.3495202715
785	0.3495202715
786	0.3495202715
787	0.3495202715
788	0.3495202715
789	0.3495202715
790	0.3495202715
791	0.3495202715
792	0.3495202715
793	0.3495202715
794	0.3495202715
795	0.3495202715
796	0.3495202715
797	0.3495202715
798	0.3495202715
799	0.3495202715
800	0.3495202715
801	0.3495202715
802	0.3495202715
803	0.3495202715
804	0.3495202715
805	0.3495202715
806	0.3495202715
807	0.3495202715
808	0.3495202715
809	0.3495202715
810	0.3495202715
811	0.3495202715
812	0.3495202715
813	0.3495202715
814	0.3495202715
815	0.3495202715
816	0.3495202715
817	0.3495202715
818	0.3495202715
819	0.3495202715
820	0.3495202715
821	0.3495202715
822	0.3495202715
823	0.3495202715
824	0.3495202715
825	0.3495202715
826	0.3495202715
827	0.3495202715
828	0.3495202715
829	0.3495202715
830	0.3495202715
831	0.3495202715
832	0.3495202715
833	0.3495202715
834	0.3495202715
835	0.3495202715
836	0.3495202715
837	0.3495202715
838	0.3495202715
839	0.3495202715
840	0.3495202715
841	0.3495202715
842	0.3495202715
843	0.3495202715
844	0.3495202715
845	0.3495202715
846	0.3495202715
847	0.3495202715
848	0.3495202715
849	0.3495202715
850	0.3495202715
851	0.3495202715
852	0.3495202715
853	0.3495202715
854	0.3495202715
855	0.3495202715
856	0.3495202715
857	0.3495202715
858	0.3495202715
859	0.3495202715
860	0.3495202715
861	0.3495202715
862	0.3495202715
863	0.3495202715
864	0.3495202715
865	0.3495202715
866	0.3495202715
867	0.3495202715
868	0.3495202715
869	0.3495202715
870	0.3495202715
871	0.3495202715
872	0.3495202715
873	0.3495202715
874	0.3495202715
875	0.3495202715
876	0.3495202715
877	0.3495202715
878	0.3495202715
879	0.3495202715
880	0.3495202715
881	0.3495202715
882	0.3495202715
883	0.3495202715
884	0.3495202715
885	0.3495202715
886	0.3495202715
887	0.3495202715
888	0.3495202715
889	0.3495202715
890	0.3495202715
891	0.3495202715
892	0.3495202715
893	0.3495202715
894	0.3495202715
895	0.3495202715
896	0.3495202715
897	0.3495202715
898	0.3495202715
899	0.3495202715
900	0.3495202715
901	0.3495202715
902	0.3495202715
903	0.3495202715
904	0.3495202715
905	0.3495202715
906	0.3495202715
907	0.3495202715
908	0.3495202715
909	0.3495202715
910	0.3495202715
911	0.3495202715
912	0.3495202715
913	0.3495202715
914	0.3495202715
915	0.3495202715
916	0.3495202715
917	0.3495202715
918	0.3495202715
919	0.3495202715
920	0.3495202715
921	0.3495202715
922	0.3495202715
923	0.3495202715
924	0.3495202715
925	0.3495202715
926	0.3495202715
927	0.3495202715
928	0.3495202715
929	0.3495202715
930	0.3495202715
931	0.3495202715
932	0.3495202715
933	0.3495202715
934	0.3495202715
935	0.3495202715
936	0.3495202715
937	0.3495202715
938	0.3495202715
939	0.3495202715
940	0.3495202715
941	0.3495202715
942	0.3495202715
943	0.3495202715
944	0.3495202715
945	0.3495202715
946	0.3495202715
947	0.3495202715
948	0.3495202715
949	0.3495202715
950	0.3495202715
951	0.3495202715
952	0.3495202715
953	0.3495202715
954	0.3495202715
955	0.3495202715
956	0.3495202715
957	0.3495202715
958	0.3495202715
959	0.3495202715
960	0.3495202715
961	0.3495202715
962	0.3495202715
963	0.3495202715
964	0.3495202715
965	0.3495202715
966	0.3495202715
967	0.3495202715
968	0.3495202715
969	0.3495202715
970	0.3495202715
971	0.3495202715
972	0.3495202715
973	0.3495202715
974	0.3495202715
975	0.3495202715
976	0.3495202715
977	0.3495202715
978	0.3495202715
979	0.3495202715
980	0.3495202715
981	0.3495202715
982	0.3495202715
983	0.3495202715
984	0.3495202715
985	0.3495202715
986	0.3495202715
987	0.3495202715
988	0.3495202715
989	0.3495202715
990	0.3495202715
991	0.3495202715
992	0.3495202715
993	0.3495202715
994	0.3495202715
995	0.3495202715
996	0.3495202715
997	0.3495202715
998	0.3495202715
999	0.3495202715
